"cdate","cp","pctlead","pctlag1","moydow"
"1983-05-12",164.25,0.401828919330281,-0.430411596672635,"05_4"
"1983-05-13",164.910004,-0.9156570028341,0.401828919330281,"05_5"
"1983-05-16",163.399994,0.189726445155193,-0.9156570028341,"05_1"
"1983-05-17",163.710007,-0.268769764330894,0.189726445155193,"05_2"
"1983-05-18",163.270004,-0.783976828958737,-0.268769764330894,"05_3"
"1983-05-19",161.990005,0.0925946017471834,-0.783976828958737,"05_4"
"1983-05-20",162.139999,0.795605037594707,0.0925946017471834,"05_5"
"1983-05-23",163.429993,1.29107268578297,0.795605037594707,"05_1"
"1983-05-24",165.539993,0.404744489749967,1.29107268578297,"05_2"
"1983-05-25",166.210007,-0.439210016999753,0.404744489749967,"05_3"
"1983-05-26",165.479996,-0.616382055024953,-0.439210016999753,"05_4"
"1983-05-27",164.460007,-1.25866953173607,-0.616382055024953,"05_5"
"1983-05-31",162.389999,0.0985306983098232,-1.25866953173607,"05_2"
"1983-06-01",162.550003,0.879724991453858,0.0985306983098232,"06_3"
"1983-06-02",163.979996,0.268326631743541,0.879724991453858,"06_4"
"1983-06-03",164.419998,0.249363827385532,0.268326631743541,"06_5"
"1983-06-06",164.830002,-1.24977126433573,0.249363827385532,"06_1"
"1983-06-07",162.770004,-0.8662548168273,-1.24977126433573,"06_2"
"1983-06-08",161.360001,0.2912747874859,-0.8662548168273,"06_3"
"1983-06-09",161.830002,0.525236970583482,0.2912747874859,"06_4"
"1983-06-10",162.679993,1.32776192091428,0.525236970583482,"06_5"
"1983-06-13",164.839996,0.418589551530922,1.32776192091428,"06_1"
"1983-06-14",165.529999,0.960548546852819,0.418589551530922,"06_2"
"1983-06-15",167.119995,1.20871473218989,0.960548546852819,"06_3"
"1983-06-16",169.139999,-0.00590871470915501,1.20871473218989,"06_4"
"1983-06-17",169.130005,-0.0650393169443891,-0.00590871470915501,"06_5"
"1983-06-20",169.020004,0.893382418805293,-0.0650393169443891,"06_1"
"1983-06-21",170.529999,0.269750778571219,0.893382418805293,"06_2"
"1983-06-22",170.990005,-0.245627222480046,0.269750778571219,"06_3"
"1983-06-23",170.570007,-0.0938048856385504,-0.245627222480046,"06_4"
"1983-06-24",170.410004,-1.14429725616343,-0.0938048856385504,"06_5"
"1983-06-27",168.460007,-1.65025162322354,-1.14429725616343,"06_1"
"1983-06-28",165.679993,0.579433872863571,-1.65025162322354,"06_2"
"1983-06-29",166.639999,0.60009601896361,0.579433872863571,"06_3"
"1983-06-30",167.639999,0.596516348106158,0.60009601896361,"06_4"
"1983-07-01",168.639999,-1.20967327567405,0.596516348106158,"07_5"
"1983-07-05",166.600006,1.12844533751097,-1.20967327567405,"07_2"
"1983-07-06",168.479996,-0.546057705272021,1.12844533751097,"07_3"
"1983-07-07",167.559998,-0.286462166226572,-0.546057705272021,"07_4"
"1983-07-08",167.080002,0.616470545649146,-0.286462166226572,"07_5"
"1983-07-11",168.110001,-1.53471059702153,0.616470545649146,"07_1"
"1983-07-12",165.529999,-0.0422835742299578,-1.53471059702153,"07_2"
"1983-07-13",165.460007,0.332399357386715,-0.0422835742299578,"07_3"
"1983-07-14",166.009995,-1.03608339967723,0.332399357386715,"07_4"
"1983-07-15",164.289993,-0.20694869711268,-1.03608339967723,"07_5"
"1983-07-18",163.949997,0.530655697419749,-0.20694869711268,"07_1"
"1983-07-19",164.820007,2.71204089925806,0.530655697419749,"07_2"
"1983-07-20",169.289993,-0.135858591476226,2.71204089925806,"07_3"
"1983-07-21",169.059998,-0.100555425299377,-0.135858591476226,"07_4"
"1983-07-22",168.889999,0.378944877606409,-0.100555425299377,"07_5"
"1983-07-25",169.529999,0.58986610387463,0.378944877606409,"07_1"
"1983-07-26",170.529999,-1.72403859569599,0.58986610387463,"07_2"
"1983-07-27",167.589996,-1.52157232583263,-1.72403859569599,"07_3"
"1983-07-28",165.039993,-1.502663054524,-1.52157232583263,"07_4"
"1983-07-29",162.559998,-0.319884969486772,-1.502663054524,"07_5"
"1983-08-01",162.039993,-0.0185127137101309,-0.319884969486772,"08_1"
"1983-08-02",162.009995,0.882665912063011,-0.0185127137101309,"08_2"
"1983-08-03",163.440002,-1.29099362101084,0.882665912063011,"08_3"
"1983-08-04",161.330002,0.254139338571377,-1.29099362101084,"08_4"
"1983-08-05",161.740005,-1.58279455970092,0.254139338571377,"08_5"
"1983-08-08",159.179993,0.59681620918278,-1.58279455970092,"08_1"
"1983-08-09",160.130005,0.880527044260068,0.59681620918278,"08_2"
"1983-08-10",161.539993,0,0.880527044260068,"08_3"
"1983-08-11",161.539993,0.383812694606206,0,"08_4"
"1983-08-12",162.160004,0.949674988907875,0.383812694606206,"08_5"
"1983-08-15",163.699997,-0.177149056392475,0.949674988907875,"08_1"
"1983-08-16",163.410004,1.15047362706143,-0.177149056392475,"08_2"
"1983-08-17",165.289993,-1.05268925747973,1.15047362706143,"08_3"
"1983-08-18",163.550003,0.262912254425331,-1.05268925747973,"08_4"
"1983-08-19",163.979996,0.21953897352212,0.262912254425331,"08_5"
"1983-08-22",164.339996,-0.955331652801071,0.21953897352212,"08_1"
"1983-08-23",162.770004,-0.933835450418739,-0.955331652801071,"08_2"
"1983-08-24",161.25,-0.25426604651162,-0.933835450418739,"08_3"
"1983-08-25",160.839996,0.808258537882565,-0.25426604651162,"08_4"
"1983-08-26",162.139999,0.0678432223254245,0.808258537882565,"08_5"
"1983-08-29",162.25,0.203391063174119,0.0678432223254245,"08_1"
"1983-08-30",162.580002,1.11944395227648,0.203391063174119,"08_2"
"1983-08-31",164.399994,-0.103405113262956,1.11944395227648,"08_3"
"1983-09-01",164.229996,0.468857102085054,-0.103405113262956,"09_4"
"1983-09-02",165,1.75151454545454,0.468857102085054,"09_5"
"1983-09-06",167.889999,0.0416987315605389,1.75151454545454,"09_2"
"1983-09-07",167.960007,-0.113123953370632,0.0416987315605389,"09_3"
"1983-09-08",167.770004,-0.506649567702226,-0.113123953370632,"09_4"
"1983-09-09",166.919998,-0.862689921671334,-0.506649567702226,"09_5"
"1983-09-12",165.479996,-0.410921571450845,-0.862689921671334,"09_1"
"1983-09-13",164.800003,0.333739678390663,-0.410921571450845,"09_2"
"1983-09-14",165.350006,-0.586634995344358,0.333739678390663,"09_3"
"1983-09-15",164.380005,1.13760490517079,-0.586634995344358,"09_4"
"1983-09-16",166.25,0.824057142857136,1.13760490517079,"09_5"
"1983-09-19",167.619995,0.96647777611496,0.824057142857136,"09_1"
"1983-09-20",169.240005,-0.490428371235282,0.96647777611496,"09_2"
"1983-09-21",168.410004,0.801609742851153,-0.490428371235282,"09_3"
"1983-09-22",169.759995,-0.147266733837969,0.801609742851153,"09_4"
"1983-09-23",169.509995,0.330371079298304,-0.147266733837969,"09_5"
"1983-09-26",170.070007,-0.964317006231444,0.330371079298304,"09_1"
"1983-09-27",168.429993,-0.255294791824872,-0.964317006231444,"09_2"
"1983-09-28",168,-0.458335714285714,-0.255294791824872,"09_3"
"1983-09-29",167.229996,-0.693648883421606,-0.458335714285714,"09_4"
"1983-09-30",166.070007,-0.156565899343881,-0.693648883421606,"09_5"
"1983-10-03",165.809998,0.277429591429096,-0.156565899343881,"10_1"
"1983-10-04",166.270004,0.884104748081919,0.277429591429096,"10_2"
"1983-10-05",167.740005,1.51424461922486,0.884104748081919,"10_3"
"1983-10-06",170.279999,0.305381726012343,1.51424461922486,"10_4"
"1983-10-07",170.800003,1.08313288495668,0.305381726012343,"10_5"
"1983-10-10",172.649994,-1.33796587331476,1.08313288495668,"10_1"
"1983-10-11",170.339996,-0.422684640664207,-1.33796587331476,"10_2"
"1983-10-12",169.619995,0.147388284028661,-0.422684640664207,"10_3"
"1983-10-13",169.869995,-0.00588332271392463,0.147388284028661,"10_4"
"1983-10-14",169.860001,0.335565758062126,-0.00588332271392463,"10_5"
"1983-10-17",170.429993,-1.53728516552834,0.335565758062126,"10_1"
"1983-10-18",167.809998,-0.643586206347495,-1.53728516552834,"10_2"
"1983-10-19",166.729996,0.149943025249038,-0.643586206347495,"10_3"
"1983-10-20",166.979996,-0.616839756062758,0.149943025249038,"10_4"
"1983-10-21",165.949997,0.0241084668413705,-0.616839756062758,"10_5"
"1983-10-24",165.990005,0.28917162813508,0.0241084668413705,"10_1"
"1983-10-25",166.470001,-0.654770224936795,0.28917162813508,"10_2"
"1983-10-26",165.380005,-0.326526172254014,-0.654770224936795,"10_3"
"1983-10-27",164.839996,-0.891774469589301,-0.326526172254014,"10_4"
"1983-10-28",163.369995,0.110184247725548,-0.891774469589301,"10_5"
"1983-10-31",163.550003,0.0672583295519614,0.110184247725548,"10_1"
"1983-11-01",163.660004,0.721002059855765,0.0672583295519614,"11_2"
"1983-11-02",164.839996,-0.843241345383203,0.721002059855765,"11_3"
"1983-11-03",163.449997,-0.617922923547073,-0.843241345383203,"11_4"
"1983-11-04",162.440002,-0.326273081429786,-0.617922923547073,"11_5"
"1983-11-07",161.910004,-0.0926496178704208,-0.326273081429786,"11_1"
"1983-11-08",161.759995,1.36622531423792,-0.0926496178704208,"11_2"
"1983-11-09",163.970001,0.268343597802375,1.36622531423792,"11_3"
"1983-11-10",164.410004,1.14347603811263,0.268343597802375,"11_4"
"1983-11-11",166.289993,0.174399550308477,1.14347603811263,"11_5"
"1983-11-14",166.580002,-0.732381429554789,0.174399550308477,"11_1"
"1983-11-15",165.360001,0.435414245068852,-0.732381429554789,"11_2"
"1983-11-16",166.080002,0.0301077790208624,0.435414245068852,"11_3"
"1983-11-17",166.130005,-0.626021169384782,0.0301077790208624,"11_4"
"1983-11-18",165.089996,0.581505253655703,-0.626021169384782,"11_5"
"1983-11-21",166.050003,0.475756088965569,0.581505253655703,"11_1"
"1983-11-22",166.839996,0.0719317926619806,0.475756088965569,"11_2"
"1983-11-23",166.960007,0.131759697398675,0.0719317926619806,"11_3"
"1983-11-25",167.179993,-0.382820927621397,0.131759697398675,"11_5"
"1983-11-28",166.539993,0.822631834744929,-0.382820927621397,"11_1"
"1983-11-29",167.910004,-0.899297221147106,0.822631834744929,"11_2"
"1983-11-30",166.399994,0.0540931509889382,-0.899297221147106,"11_3"
"1983-12-01",166.490005,-0.630670291588978,0.0540931509889382,"12_4"
"1983-12-02",165.440002,0.193419364199482,-0.630670291588978,"12_5"
"1983-12-05",165.759995,-0.174948123037773,0.193419364199482,"12_1"
"1983-12-06",165.470001,0.265911039669354,-0.174948123037773,"12_2"
"1983-12-07",165.910004,-0.427947069424452,0.265911039669354,"12_3"
"1983-12-08",165.199997,-0.072636199866268,-0.427947069424452,"12_4"
"1983-12-09",165.080002,0.327109882152764,-0.072636199866268,"12_5"
"1983-12-12",165.619995,-0.416617570843419,0.327109882152764,"12_1"
"1983-12-13",164.929993,-0.970103115204758,-0.416617570843419,"12_2"
"1983-12-14",163.330002,-1.02246860928834,-0.970103115204758,"12_3"
"1983-12-15",161.660004,0.451561908906054,-1.02246860928834,"12_4"
"1983-12-16",162.389999,-0.0431011764462077,0.451561908906054,"12_5"
"1983-12-19",162.320007,-0.197145752956999,-0.0431011764462077,"12_1"
"1983-12-20",162,0.962961728395066,-0.197145752956999,"12_2"
"1983-12-21",163.559998,-0.0183412817111942,0.962961728395066,"12_3"
"1983-12-22",163.529999,-0.189566441567707,-0.0183412817111942,"12_4"
"1983-12-23",163.220001,0.943508142730625,-0.189566441567707,"12_5"
"1983-12-27",164.759995,0.35202780869228,0.943508142730625,"12_2"
"1983-12-28",165.339996,-0.290307857513195,0.35202780869228,"12_3"
"1983-12-29",164.860001,0.0424554164596814,-0.290307857513195,"12_4"
"1983-12-30",164.929993,-0.539622893211416,0.0424554164596814,"12_5"
"1984-01-03",164.039993,1.6703280400652,-0.539622893211416,"01_2"
"1984-01-04",166.779999,1.21717173052627,1.6703280400652,"01_3"
"1984-01-05",168.809998,0.278420120590249,1.21717173052627,"01_4"
"1984-01-06",169.279999,-0.224483106241046,0.278420120590249,"01_5"
"1984-01-09",168.899994,-0.56246123963746,-0.224483106241046,"01_1"
"1984-01-10",167.949997,-0.0893087244294458,-0.56246123963746,"01_2"
"1984-01-11",167.800003,-0.0297991651406608,-0.0893087244294458,"01_3"
"1984-01-12",167.75,-0.435169001490313,-0.0297991651406608,"01_4"
"1984-01-13",167.020004,0.0957903222179278,-0.435169001490313,"01_5"
"1984-01-16",167.179993,0.388807888034791,0.0957903222179278,"01_1"
"1984-01-17",167.830002,-0.166834890462555,0.388807888034791,"01_2"
"1984-01-18",167.550003,-0.304392713141279,-0.166834890462555,"01_3"
"1984-01-19",167.039993,-0.496878612776294,-0.304392713141279,"01_4"
"1984-01-20",166.210007,-0.806216198522873,-0.496878612776294,"01_5"
"1984-01-23",164.869995,0.649000444259129,-0.806216198522873,"01_1"
"1984-01-24",165.940002,-0.662893809052732,0.649000444259129,"01_2"
"1984-01-25",164.839996,-0.363983871972441,-0.662893809052732,"01_3"
"1984-01-26",164.240005,-0.182661343684204,-0.363983871972441,"01_4"
"1984-01-27",163.940002,-0.652682070846872,-0.182661343684204,"01_5"
"1984-01-30",162.869995,0.33155830820772,-0.652682070846872,"01_1"
"1984-01-31",163.410004,-0.410011005201365,0.33155830820772,"01_2"
"1984-02-01",162.740005,0.380973319989768,-0.410011005201365,"02_3"
"1984-02-02",163.360001,-1.49975329640211,0.380973319989768,"02_4"
"1984-02-03",160.910004,-1.75874832493322,-1.49975329640211,"02_5"
"1984-02-06",158.080002,0.417512013948475,-1.75874832493322,"02_1"
"1984-02-07",158.740005,-1.82058643629247,0.417512013948475,"02_2"
